price,bedrooms,bathrooms,m2_living,m2_lot,floors,waterfront,condition,grade,m2_basement,yr_built,yr_renovated,zip,lat,long
221900,3,1.0,109,520,1.0,0,3,7,0,1955,0,98178,47.5112,-122.257
538000,3,2.25,236,666,2.0,0,3,7,37,1951,1991,98125,47.721000000000004,-122.319
604000,4,3.0,180,460,1.0,0,5,7,84,1965,0,98136,47.5208,-122.39299999999999
229500,3,1.0,164,687,1.0,0,3,7,67,1960,0,98146,47.5123,-122.337
468000,2,1.0,107,552,1.0,0,4,7,28,1942,0,98115,47.69,-122.292
530000,5,2.0,167,446,1.5,0,3,7,0,1900,0,98107,47.67,-122.39399999999999
650000,4,3.0,271,460,2.0,0,3,9,89,1979,0,98126,47.5714,-122.375
485000,4,1.0,147,396,1.5,0,4,7,0,1916,0,98103,47.6648,-122.34299999999999
385000,4,1.75,149,458,1.0,0,4,7,70,1947,0,98133,47.7025,-122.34100000000001
937000,3,1.75,225,248,2.0,0,3,8,64,1915,0,98119,47.6386,-122.36
667000,3,1.0,129,145,1.5,0,5,8,0,1909,0,98112,47.6221,-122.314
438000,3,1.75,140,587,1.0,0,3,7,67,1948,0,98115,47.695,-122.304
280000,2,1.5,109,116,3.0,0,3,7,0,2005,0,98133,47.7274,-122.35700000000001
687500,4,1.75,214,460,1.5,0,4,7,75,1929,0,98117,47.6823,-122.368
535000,3,1.0,100,276,1.5,0,4,8,0,1929,0,98117,47.6889,-122.375
696000,3,2.5,212,282,1.5,0,3,8,73,1930,2002,98115,47.6827,-122.31
640000,4,2.0,217,552,2.0,0,4,8,0,1904,0,98107,47.6702,-122.36200000000001
685000,3,1.0,144,210,2.0,0,3,7,0,1922,0,98119,47.6413,-122.36399999999999
450000,3,1.75,115,549,1.0,0,4,7,0,1953,0,98115,47.6796,-122.301
600000,3,1.75,130,375,1.0,0,4,7,38,1950,0,98117,47.6808,-122.384
585000,2,1.75,182,787,1.0,0,3,7,91,1981,0,98117,47.6989,-122.369
920000,5,2.25,251,552,1.5,0,3,8,55,1927,0,98105,47.6571,-122.281
885000,4,2.5,260,460,2.0,0,3,9,0,1995,0,98105,47.6597,-122.29
549000,3,1.75,142,96,3.0,0,3,8,0,2014,0,98115,47.6765,-122.32
425000,3,2.25,153,552,1.0,0,3,7,51,1979,0,98122,47.6113,-122.29700000000001
317625,3,2.75,255,350,1.5,0,5,7,92,1925,0,98144,47.5747,-122.304
571000,4,2.0,253,718,1.5,0,5,7,46,1916,0,98125,47.7168,-122.287
480000,3,1.0,96,466,1.0,0,3,7,0,1941,0,98116,47.5636,-122.39399999999999
410000,3,1.0,130,466,1.0,0,4,7,46,1956,0,98133,47.7073,-122.34
355000,2,1.0,186,618,1.0,0,3,7,93,1948,0,98118,47.5474,-122.291
315000,3,1.0,88,610,1.0,0,3,6,0,1952,0,98125,47.7264,-122.31
940000,3,1.5,197,331,2.0,0,3,9,22,1925,0,98119,47.6337,-122.365
335000,2,1.75,95,98,2.0,0,3,7,24,2006,0,98136,47.5394,-122.387
1099880,5,2.75,324,584,2.0,0,4,10,0,2001,0,98199,47.6506,-122.391
430000,3,1.5,145,460,1.0,0,3,8,27,1939,0,98117,47.687,-122.38600000000001
700000,3,1.5,145,460,1.0,0,3,8,27,1939,0,98117,47.687,-122.38600000000001
850830,3,2.5,190,1218,1.5,0,5,9,74,1910,0,98102,47.6415,-122.315
555000,3,2.0,182,320,1.5,0,4,7,50,1929,0,98117,47.6775,-122.37200000000001
460000,3,1.0,154,368,1.5,0,4,7,46,1939,0,98117,47.6878,-122.38
570000,3,1.75,116,306,1.0,0,5,6,52,1905,0,98103,47.6823,-122.34899999999999
329950,3,1.75,191,549,1.0,0,3,7,92,1971,0,98108,47.5474,-122.295
740500,3,3.5,403,584,2.0,0,3,8,147,1900,1999,98117,47.6981,-122.368
518500,3,3.5,146,101,3.0,0,3,8,0,2010,0,98103,47.6824,-122.34700000000001
205425,2,1.0,81,624,1.0,0,4,6,0,1945,0,98178,47.5009,-122.24799999999999
535000,4,1.0,148,274,1.5,0,4,7,0,1925,0,98144,47.586999999999996,-122.294
660000,3,2.5,221,596,1.0,0,3,8,77,1964,0,98177,47.7728,-122.38600000000001
395000,2,1.0,71,552,1.0,0,3,6,0,1953,0,98117,47.6999,-122.36399999999999
445000,4,1.75,193,405,1.5,0,5,7,35,1924,0,98118,47.5299,-122.266
445000,3,2.25,193,754,1.0,0,3,8,44,1967,0,98178,47.5091,-122.244
822500,5,3.5,213,456,2.0,0,5,7,55,1926,0,98103,47.6763,-122.352
