property_type,zip,neighborhood,latitude,longitude
K-12 School,98118,SOUTHEAST,47.54570136,-122.26858429999999
K-12 School,98112,SHARED: CENTRAL & EAST,47.62309371,-122.30538870000001
K-12 School,98125,NORTH,47.71011498,-122.29379175
K-12 School,98109,MAGNOLIA / QUEEN ANNE,47.63303191,-122.35245717
Office,98103,LAKE UNION,47.66391557,-122.33172174
Supermarket/Grocery Store,98105,NORTHEAST,47.66270326,-122.29612323
Distribution Center,98118,GREATER DUWAMISH,47.5106034,-122.29027588
K-12 School,98199,MAGNOLIA / QUEEN ANNE,47.65726207,-122.39065097
K-12 School,98115,NORTHEAST,47.68245037,-122.29393540000001
Office,98107,BALLARD,47.66580963,-122.3860321
Office,98144,GREATER DUWAMISH,47.58002948,-122.31181286
K-12 School,98103,NORTHWEST,47.68894837,-122.33616192
K-12 School,98112,EAST,47.63445532,-122.30801629999999
Office,98122,CENTRAL,47.60841187,-122.30954409999998
Senior Care Community,98126,SOUTHWEST,47.55837362,-122.378518
Senior Care Community,98133,NORTHWEST,47.72389349,-122.35629979999999
K-12 School,98146,SOUTHWEST,47.50935392,-122.37822220000001
Medical Office,98122,EAST,47.61249662,-122.3213373
Retail Store,98109,LAKE UNION,47.622375,-122.33805
Office,98109,LAKE UNION,47.62428336,-122.33589247
Other,98109,MAGNOLIA / QUEEN ANNE,47.62124083,-122.35343219999999
Other,98109,MAGNOLIA / QUEEN ANNE,47.62124083,-122.35343219999999
Other,98109,MAGNOLIA / QUEEN ANNE,47.62189039,-122.35027520000001
Office,98109,LAKE UNION,47.62099765,-122.33592466
Other,98109,MAGNOLIA / QUEEN ANNE,47.62393635,-122.35193000000001
Other,98109,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699
Other,98109,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699
Office,98109,MAGNOLIA / QUEEN ANNE,47.623925,-122.34834170000002
Office,98109,MAGNOLIA / QUEEN ANNE,47.62334946,-122.344706
Office,98119,MAGNOLIA / QUEEN ANNE,47.62038448,-122.35842690000001
K-12 School,98106,DELRIDGE NEIGHBORHOODS,47.56261299,-122.35792830000001
K-12 School,98112,EAST,47.6262348,-122.3081985
K-12 School,98112,EAST,47.62595722,-122.30416399999999
Office,98144,SOUTHEAST,47.58406769,-122.30127069999999
K-12 School,98144,SOUTHEAST,47.57334571,-122.2906221
K-12 School,98108,GREATER DUWAMISH,47.56301254,-122.3112112
K-12 School,98118,SOUTHEAST,47.55446464,-122.2764003
K-12 School,98119,MAGNOLIA / QUEEN ANNE,47.6367344,-122.35894520000001
Other,98115,NORTHEAST,47.67530479999999,-122.31534199999999
Other,98115,NORTHEAST,47.6756688,-122.3161909
K-12 School,98133,NORTHWEST,47.72465187,-122.3539331
K-12 School,98133,NORTHWEST,47.72595704,-122.33759479999999
K-12 School,98103,LAKE UNION,47.65474724,-122.3490987
Hospital (General Medical & Surgical),98107,BALLARD,47.66742706,-122.37961578
K-12 School,98107,SHARED: BALLARD & NORTHWEST,47.67031559,-122.3622592
K-12 School,98144,SOUTHEAST,47.57604857,-122.2928463
College/University,98122,EAST,47.61496242,-122.3217405
College/University,98106,DELRIDGE NEIGHBORHOODS,47.54550494,-122.3500523
Office,98115,NORTHEAST,47.67843749,-122.26417020000001
K-12 School,98122,CENTRAL,47.60502046,-122.30183259999998
K-12 School,98118,SOUTHEAST,47.51466446,-122.25881869999999
K-12 School,98122,CENTRAL,47.61229388,-122.2908219
K-12 School,98118,GREATER DUWAMISH,47.52933502,-122.28844452
Office,98118,GREATER DUWAMISH,47.53830025,-122.28405320000002
Other - Lodging/Residential,98118,GREATER DUWAMISH,47.53830025,-122.28405320000002
College/University,98119,MAGNOLIA / QUEEN ANNE,47.65153666,-122.36154640000001
Residence Hall/Dormitory,98119,MAGNOLIA / QUEEN ANNE,47.65076266,-122.3638034
K-12 School,98125,NORTH,47.70783561,-122.294626
Other,98122,CENTRAL,47.60411727,-122.3153334
K-12 School,98117,NORTHWEST,47.68734351,-122.3598407
Office,98108,GREATER DUWAMISH,47.5353246,-122.3186034
Retail Store,98125,NORTH,47.70752593,-122.3267018
Other/Specialty Hospital,98125,NORTH,47.70624752,-122.3217548
Retail Store,98125,NORTH,47.70798492,-122.32534027
Hospital (General Medical & Surgical),98105,NORTHEAST,47.66356652,-122.2813832
Financial Office,98133,NORTHWEST,47.70952866,-122.33465749999999
K-12 School,98117,BALLARD,47.67678666,-122.37396820000001
Self-Storage Facility,98122,EAST,47.61229181,-122.3170942
College/University,98103,NORTHWEST,47.69879162,-122.3338342
K-12 School,98118,SOUTHEAST,47.54657866,-122.2820193
Other,98106,DELRIDGE NEIGHBORHOODS,47.54806021,-122.36200190000001
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54941628,-122.31604209999999
K-12 School,98118,SOUTHEAST,47.52383423,-122.26601409999998
K-12 School,98117,BALLARD,47.69689628,-122.37785259999998
Retail Store,98126,DELRIDGE NEIGHBORHOODS,47.52131741,-122.36689740000001
Retail Store,98126,DELRIDGE NEIGHBORHOODS,47.52131741,-122.36689740000001
K-12 School,98106,DELRIDGE NEIGHBORHOODS,47.52967421,-122.36665559999999
K-12 School,98126,DELRIDGE NEIGHBORHOODS,47.51791397,-122.37067739999999
K-12 School,98144,CENTRAL,47.59792434,-122.30394720000001
Other,98117,BALLARD,47.67771413,-122.39623370000001
K-12 School,98118,SOUTHEAST,47.54197311,-122.27677917
Self-Storage Facility,98126,SOUTHWEST,47.54506084,-122.3773622
K-12 School,98103,LAKE UNION,47.6572102,-122.3375797
Museum,98109,LAKE UNION,47.62759406,-122.3366092
Non-Refrigerated Warehouse,98109,MAGNOLIA / QUEEN ANNE,47.62651741,-122.340841
K-12 School,98117,BALLARD,47.68367156,-122.3729249
Office,98103,NORTHWEST,47.69975953,-122.340249
K-12 School,98136,SOUTHWEST,47.54026729,-122.3884963
K-12 School,98115,NORTH,47.69820046,-122.32108500000001
K-12 School,98108,GREATER DUWAMISH,47.53836703,-122.2964274
Office,98108,GREATER DUWAMISH,47.52440204,-122.3115544
Parking,98125,NORTH,47.7024765,-122.32480621
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,47.62392426,-122.35764313
Hospital (General Medical & Surgical),98122,CENTRAL,47.60710663,-122.3107827
